Time, radar measured  rho, radar measured phi, radar measured rho_dot 
7733333,22.2032,-0.0292685,-0.744295
7733333,4.05435,-1.72607,-0.527005
7733333,37.5571,0.0695003,6.00522
7766666,21.6654,-0.0121962,-0.94204
7766666,3.52767,-1.66532,-0.436065
7766666,37.2443,0.0860154,5.87449
7800000,22.3533,-0.0141314,-1.26465
7800000,4.23644,-1.62242,-0.454123
7800000,38.1594,0.0835287,5.61889
7833333,22.0445,-0.00667568,-1.85137
7833333,3.95885,-1.56915,-0.721409
7833333,38.0801,0.0904386,5.09918
7866666,21.6364,-0.0380204,-1.03414
7866666,3.59281,-1.55388,0.42885
7866666,37.9037,0.0585536,5.98341
7900000,22.084,-0.026452,-1.80949
7900000,4.09362,-1.49511,-0.00146106
7900000,38.5852,0.0695873,5.27506
7933333,22.3901,0.00149422,-1.61691
7933333,4.46453,-1.41961,0.546349
7933333,39.1274,0.0970041,5.53463
7966666,21.6265,-0.0312459,-2.41614
7966666,3.77774,-1.40466,0.110523
7966666,38.6023,0.06374,4.80239
8000000,21.689,0.0175657,-1.2192
8000000,3.92907,-1.30826,1.65264
8000000,38.9054,0.112033,6.06631
8033333,21.5358,0.0263481,-1.90826
8033333,3.87617,-1.253,1.29912
8033333,38.9951,0.120302,5.44422
8066666,21.6399,-0.0243661,-1.48203
8066666,4.09152,-1.2585,2.05003
8066666,39.3443,0.0690787,5.93743
8100000,21.271,0.00957023,-1.09455
8100000,3.84446,-1.18073,2.75042
8100000,39.2227,0.102512,6.39187
8133333,21.2914,0.0250299,-1.70327
8133333,3.99693,-1.12292,2.44221
8133333,39.4926,0.117473,5.85012
8166666,21.827,-0.0506425,-2.23628
8166666,4.67448,-1.1578,2.19697
8166666,40.28,0.0413064,5.38407
8200000,21.8604,0.0147342,-1.85067
8200000,4.85913,-1.05323,2.85747
8200000,40.5674,0.106194,5.83663
8233333,21.9867,-0.0140546,-1.18825
8233333,5.1457,-1.04444,3.78203
8233333,40.95,0.0769212,6.56601
8266666,21.0872,-0.0146889,-1.55067
8266666,4.41491,-1.00912,3.66923
8266666,40.3089,0.0758074,6.27053
8300000,21.8198,-0.048683,-2.26725
8300000,5.32438,-1.00876,3.19016
8300000,41.3022,0.0413384,5.62089
8333333,21.119,0.0220876,-1.92808
8333333,4.8082,-0.905216,3.75523
8333333,40.8644,0.111639,6.027
8366666,21.0944,0.00940108,-2.05978
8366666,4.97557,-0.886663,3.83836
8366666,41.105,0.098486,5.96223
8400000,21.3234,-0.00173133,-2.25992
8400000,5.40351,-0.868042,3.84261
8400000,41.6014,0.0868921,5.82903
8433333,21.1429,-0.0829853,-2.28399
8433333,5.42851,-0.920975,4.0131
8433333,41.6905,0.00518083,5.87188
8466666,21.5555,-0.00428234,-2.33735
8466666,6.05305,-0.815324,4.14512
8466666,42.375,0.0834309,5.88545
8500000,21.0212,0.0016341,-2.25628
8500000,5.73665,-0.783772,4.403
8500000,42.1147,0.0888986,6.03343
8533333,21.0875,-0.0120102,-2.71059
8533333,6.02668,-0.773031,4.11754
8533333,42.4574,0.0748097,5.64604
8566666,20.9153,-0.0824752,-2.59522
8566666,6.08368,-0.820298,4.39439
8566666,42.5637,0.00390431,5.82833
8600000,20.429,0.0069562,-2.87948
8600000,5.83185,-0.708795,4.26479
8600000,42.3582,0.0928992,5.61098
8633333,20.8102,-0.0396657,-2.71328
8633333,6.45258,-0.734412,4.57936
8633333,43.0224,0.0458449,5.84409
8666666,20.2436,-0.0405871,-2.38577
8666666,6.13037,-0.715336,5.04941
8666666,42.7411,0.044495,6.23849
8700000,20.2935,-0.00513289,-2.69106
8700000,6.42923,-0.660836,4.88132
8700000,43.0784,0.0795246,6.0001
8733333,20.6239,-0.0504471,-2.4583
8733333,7.01325,-0.688004,5.24635
8733333,43.6986,0.0337896,6.29977
8766666,20.3045,-0.00249198,-2.60883
8766666,6.95166,-0.622749,5.22354
8766666,43.6711,0.0813277,6.21612
8800000,20.2427,-0.0324091,-2.59177
8800000,7.15192,-0.636166,5.36415
8800000,43.9035,0.0509973,6.30008
8833333,20.2932,0.0153572,-3.16782
8833333,7.46846,-0.572653,4.90779
8833333,44.2504,0.098354,5.79092
8866666,20.1809,-0.0166535,-2.67986
8866666,7.62622,-0.589627,5.5119
8866666,44.4367,0.0659374,6.34576
8900000,19.5082,-0.0142668,-3.44493
8900000,7.22737,-0.572874,4.8597
8900000,44.0649,0.0679217,5.64757
8933333,19.4974,0.0186329,-3.2735
8933333,7.49407,-0.526239,5.141
8933333,44.3571,0.100423,5.88588
8966666,19.6034,-0.00826898,-3.94
8966666,7.88125,-0.540001,4.58158
8966666,44.7685,0.0731253,5.28626
9000000,19.3034,-0.0430115,-3.80257
9000000,7.8659,-0.562165,4.82353
9000000,44.776,0.0379909,5.49056
9033333,19.5751,-0.0742483,-3.25296
9033333,8.42577,-0.581354,5.47529
9033333,45.3575,0.00636551,6.10704
9066666,19.3281,0.00170352,-3.33367
9066666,8.47023,-0.493856,5.49455
9066666,45.4225,0.0819322,6.0932
9100000,18.957,-0.0338117,-3.99354
9100000,8.39399,-0.518297,4.93261
9100000,45.3657,0.046035,5.50019
9133333,19.3027,0.00506194,-3.87154
9133333,9.03772,-0.468797,5.15067
9133333,46.0278,0.0845301,5.68905
9166666,18.9421,0.00141159,-4.19199
9166666,8.97835,-0.462244,4.92455
9166666,45.9859,0.0805044,5.43547
9200000,18.7203,-0.0201717,-3.61058
9200000,9.06089,-0.474023,5.59867
9200000,46.0851,0.0585489,6.08373
9233333,18.3814,-0.0398733,-4.4298
9233333,9.0293,-0.4843,4.87067
9233333,46.0692,0.0384784,5.33137
9266666,18.2552,0.0247275,-4.14914
9266666,9.21349,-0.410634,5.24116
9266666,46.2684,0.102713,5.67888
9300000,18.151,-0.0570721,-4.02289
9300000,9.42272,-0.483707,5.45595
9300000,46.4918,0.0205507,5.87198
9333333,18.4119,0.0445345,-3.9383
9333333,9.99991,-0.373698,5.62788
9333333,47.0826,0.121797,6.02342
9366666,17.9854,-0.0102748,-4.21445
9366666,9.89262,-0.42041,5.43794
9366666,46.9881,0.0666313,5.81411
9400000,18.2169,-0.00645301,-4.32356
9400000,10.4462,-0.408782,5.41401
9400000,47.5539,0.0700992,5.77185
9433333,17.9797,0.0312092,-4.5081
9433333,10.5339,-0.36359,5.31368
9433333,47.6532,0.107411,5.65416
9466666,17.3029,-0.0412416,-4.58301
9466666,10.1847,-0.428773,5.32205
9466666,47.3151,0.0346116,5.64608
9500000,17.4688,0.0152801,-4.39167
9500000,10.6811,-0.365234,5.59583
9500000,47.8221,0.090788,5.90426
9533333,17.6045,-0.0267037,-4.20302
9533333,11.1499,-0.400438,5.86613
9533333,48.3009,0.0484618,6.15975
9566666,17.3791,0.024139,-4.53388
9566666,11.2604,-0.343043,5.61617
9566666,48.421,0.0989648,5.89572
9600000,17.5366,0.0303254,-4.75065
9600000,11.7564,-0.330519,5.4796
9600000,48.9261,0.104814,5.74578
9633333,16.9063,0.018266,-4.80367
9633333,11.4674,-0.336448,5.50614
9633333,48.6457,0.0924207,5.75959
9666666,17.043,-0.035516,-4.41114
9666666,11.948,-0.384295,5.97759
9666666,49.1346,0.0383071,6.21894
9700000,17.0424,0.000958383,-4.7644
9700000,12.2939,-0.342074,5.7027
9700000,49.4883,0.0744527,5.93252
9733333,16.2042,0.0244592,-5.01967
9733333,11.8047,-0.313005,5.52524
9733333,49.0066,0.0976272,5.74406
9766666,15.9704,-0.00150615,-5.36523
9766666,11.9226,-0.333574,5.25698
9766666,49.1316,0.0713382,5.46532
9800000,16.2282,0.00107599,-5.00048
9800000,12.5347,-0.325759,5.69856
9800000,49.7505,0.0735992,5.8969
9833333,16.239,-0.00137132,-4.88625
9833333,12.9022,-0.32313,5.88916
9833333,50.1245,0.0708332,6.07794
9866666,15.8316,-0.0160444,-5.20948
9866666,12.8542,-0.332877,5.64188
9866666,50.0825,0.055844,5.82154
9900000,15.7746,-0.0257486,-5.33856
9900000,13.159,-0.337799,5.58833
9900000,50.3932,0.0458261,5.75927
9933333,16.0255,-0.0682215,-5.11641
9933333,13.7743,-0.375628,5.88565
9933333,51.0141,0.00304198,6.04823
9966666,15.2696,-0.0110901,-5.92001
9966666,13.3853,-0.313984,5.15684
9966666,50.6304,0.0598646,5.31144
