Time, ground truth x, ground truth y, ground truth v, ground truth yaw 
1166666,17.6,-4,-6,0
1166666,-10.2911,0.312082,2.58333,0.366667
1200000,-3.52611,4,5.38334,0
1200000,17.4,-4,-6,0
1200000,-10.2107,0.342954,2.66667,0.366667
1233333,-3.34666,4,5.40001,0
1233333,17.2,-4,-6,0
1233333,-10.1277,0.374821,2.75,0.366667
1266666,-3.16666,4,5.41667,0
1266666,17,-4,-6,0
1266666,-10.0421,0.407684,2.83333,0.366667
1300000,-2.98611,4,5.43334,0
1300000,16.8,-4,-6,0
1300000,-9.95395,0.441543,2.91667,0.366667
1333333,-2.805,4,5.45001,0
1333333,16.6,-4,-6,0
1333333,-9.86319,0.476398,3,0.366667
1366666,-2.62333,4,5.46667,0
1366666,16.4,-4,-6,0
1366666,-9.76984,0.512248,3.08333,0.366667
1400000,-2.44111,4,5.48334,0
1400000,16.2,-4,-6,0
1400000,-9.67389,0.549095,3.16667,0.366667
1433333,-2.25833,4,5.50001,0
1433333,16,-4,-6,0
1433333,-9.57536,0.586937,3.25,0.366667
1466666,-2.075,4,5.51667,0
1466666,15.8,-4,-6,0
1466666,-9.47422,0.625775,3.33333,0.366667
1500000,-1.89111,4,5.53334,0
1500000,15.6,-4,-6,0
1500000,-9.3705,0.665609,3.41667,0.366667
1533333,-1.70666,4,5.55001,0
1533333,15.4,-4,-6,0
1533333,-9.26418,0.706439,3.5,0.366667
1566666,-1.52166,4,5.56667,0
1566666,15.2,-4,-6,0
1566666,-9.15527,0.748264,3.58333,0.366667
1600000,-1.33611,4,5.58334,0
1600000,15,-4,-6,0
1600000,-9.04376,0.791086,3.66667,0.366667
1633333,-1.14999,4,5.60001,0
1633333,14.8,-4,-6,0
1633333,-8.92967,0.834903,3.75,0.366667
1666666,-0.963328,4,5.61667,0
1666666,14.6,-4,-6,0
1666666,-8.81298,0.879717,3.83333,0.366667
1700000,-0.776105,4,5.63334,0
1700000,14.4,-4,-6,0
1700000,-8.69369,0.925526,3.91667,0.366667
1733333,-0.588327,4,5.65001,0
1733333,14.2,-4,-6,0
1733333,-8.57181,0.972331,4,0.366667
1766666,-0.399994,4,5.66668,0
1766666,14,-4,-6,0
1766666,-8.44734,1.02013,4.08333,0.366667
1800000,-0.211105,4,5.68334,0
1800000,13.8,-4,-6,0
1800000,-8.32028,1.06893,4.16667,0.366667
1833333,-0.0216598,4,5.70001,0
1833333,13.6,-4,-6,0
1833333,-8.19062,1.11872,4.25,0.366667
1866666,0.168341,4,5.71668,0
1866666,13.4,-4,-6,0
